sektor,year_month,index_value,inflation_mom_pct,inflation_yoy_pct
makanan,2015-01,127.52,-1.4664366373902005,6.5950439146800655
makanan,2015-02,125.65,-1.4664366373902005,6.5950439146800655
makanan,2015-03,124.73,-0.7321925984878686,6.5950439146800655
makanan,2015-04,123.75,-0.7856971057484174,6.5950439146800655
makanan,2015-05,125.47,1.3898989898989855,6.5950439146800655
makanan,2015-06,127.48,1.6019765681039244,6.5950439146800655
makanan,2015-07,130.06,2.0238468779416374,6.5950439146800655
makanan,2015-08,131.24,0.9072735660464515,6.5950439146800655
makanan,2015-09,129.83,-1.0743675708625444,6.5950439146800655
makanan,2015-10,128.46,-1.0552260648540424,6.5950439146800655
makanan,2015-11,128.89,0.3347345477191066,6.5950439146800655
makanan,2015-12,133.01,3.1965241678951095,6.5950439146800655
makanan,2016-01,135.93,2.1953236598752035,6.5950439146800655
makanan,2016-02,135.14,-0.5811814904730483,7.552725825706319
makanan,2016-03,136.07,0.6881752256918894,9.091637937945961
makanan,2016-04,134.79,-0.9406922907327142,8.921212121212108
makanan,2016-05,135.19,0.2967579197269865,7.7468717621742345
makanan,2016-06,137.38,1.619942303424815,7.765924066520236
makanan,2016-07,138.92,1.1209783083418134,6.812240504382583
makanan,2016-08,137.98,-0.6766484307515142,5.1356293812861775
makanan,2016-09,137.88,-0.07247427163357134,6.200415928521896
makanan,2016-10,137.59,-0.2103278212938764,7.1072707457574325
makanan,2016-11,139.88,1.6643651428156048,8.526650632322141
makanan,2016-12,140.58,0.500428939090658,5.691301405909344
makanan,2017-01,141.51,0.6615450277422052,4.105054071948788
makanan,2017-02,141.07,-0.3109320896049761,4.388042030486905
makanan,2017-03,140.14,-0.6592471822499557,2.991107518189162
makanan,2017-04,138.56,-1.127443984586829,2.7969433934268206
makanan,2017-05,139.75,0.8588337182448003,3.373030549596856
makanan,2017-06,140.72,0.6940966010733352,2.431212694715401
makanan,2017-07,141.01,0.20608300170550375,1.5044630002879478
makanan,2017-08,140.06,-0.6737110843202498,1.5074648499782572
makanan,2017-09,139.32,-0.5283449950021502,1.0443864229765065
makanan,2017-10,138.69,-0.45219638242893767,0.799476706155966
makanan,2017-11,139.2,0.36772658446895257,-0.4861309694023541
makanan,2017-12,142.35,2.2629310344827624,1.2590695689287168
makanan,2018-01,145.68,2.339304531085351,2.946788212847151
makanan,2018-02,145.87,0.13042284459088282,3.4025661019352116
makanan,2018-03,146.08,0.1439638033865931,4.238618524332827
makanan,2018-04,145.7,-0.26013143483024637,5.153002309468802
makanan,2018-05,146.0,0.20590253946466408,4.472271914132375
makanan,2018-06,147.29,0.8835616438356064,4.6688459351904354
makanan,2018-07,148.55,0.8554552243872804,5.3471385008155625
makanan,2018-08,146.92,-1.0972736452373066,4.897900899614438
makanan,2018-09,144.54,-1.6199292131772403,3.746770025839785
makanan,2018-10,144.76,0.15220700152207556,4.3766673876991735
makanan,2018-11,145.11,0.24177949709867086,4.245689655172424
makanan,2018-12,147.21,1.447178002894356,3.414120126448905
makanan,2019-01,148.57,0.9238502819101768,1.9838001098297475
makanan,2019-02,146.92,-1.1105876018038696,0.7198190169328766
